,Date,Timestamp,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer
,,,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure
,,,ethereum,Total,ethereum,ethereum,ethereum,Total,Total,Total,ethereum,ethereum,ethereum,Total,Total,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,STETH,CBETH,RETH,STETH,CBETH,RETH,STETH,CBETH,RETH,STETH,CBETH,RETH
,05/09/2023,1693872000,233659097.25707573,233659097.25707573,162478406.25342688,36272146.582989104,34908544.42065976,162478406.25342688,36272146.582989104,34908544.42065976,99951.03670900656,21260.020738863095,19810.087858457664,99951.03670900656,21260.020738863095,19810.087858457664
,06/09/2023,1693958400,234273968.51513174,234273968.51513174,162902209.01752248,36344590.879361644,35027168.618247606,162902209.01752248,36344590.879361644,35027168.618247606,99928.35744147767,21249.051911156766,19804.577878057495,99928.35744147767,21249.051911156766,19804.577878057495
,07/09/2023,1694044800,234192436.44545156,234192436.44545156,162860886.61426586,36374252.49991943,34957297.33126628,162860886.61426586,36374252.49991943,34957297.33126628,99926.30221575881,21247.88393008904,19773.00986536021,99926.30221575881,21247.88393008904,19773.00986536021
,08/09/2023,1694131200,236463202.54809713,236463202.54809713,164561993.74800253,36674792.348080195,35226416.45201442,164561993.74800253,36674792.348080195,35226416.45201442,99898.6175767488,21240.555268081473,19738.446792114137,99898.6175767488,21240.555268081473,19738.446792114137
,09/09/2023,1694217600,234566529.738495,234566529.738495,163198008.86416042,36419347.049255505,34949173.825079046,163198008.86416042,36419347.049255505,34949173.825079046,99879.43870018079,21239.981716057704,19728.79954900933,99879.43870018079,21239.981716057704,19728.79954900933
,10/09/2023,1694304000,233922810.96486887,233922810.96486887,162700060.5991435,36328899.4793061,34893850.88641927,162700060.5991435,36328899.4793061,34893850.88641927,99627.73446441296,21225.234711178557,19721.839646424727,99627.73446441296,21225.234711178557,19721.839646424727
,11/09/2023,1694390400,230731328.17570323,230731328.17570323,160587780.32971638,35647376.76005587,34496171.08593099,160587780.32971638,35647376.76005587,34496171.08593099,99491.21816609755,21024.698767358226,19714.01283892206,99491.21816609755,21024.698767358226,19714.01283892206
,12/09/2023,1694476800,220919023.14067835,220919023.14067835,153587765.6276331,34187455.71358248,33143801.799462777,153587765.6276331,34187455.71358248,33143801.799462777,99150.93034197729,21023.943936230095,19711.440601541988,99150.93034197729,21023.943936230095,19711.440601541988
,13/09/2023,1694563200,226227088.7836376,226227088.7836376,156943590.5591194,35188283.80779374,34095214.416724466,156943590.5591194,35188283.80779374,34095214.416724466,98317.71830877812,21021.861536775854,19702.977483862363,98317.71830877812,21021.861536775854,19702.977483862363
,14/09/2023,1694649600,227389542.11920115,227389542.11920115,158071478.826571,34967093.082213156,34350970.21041701,158071478.826571,34967093.082213156,34350970.21041701,98268.93546188578,20736.96972056621,19698.803315967343,98268.93546188578,20736.96972056621,19698.803315967343
,15/09/2023,1694736000,230041036.25787938,230041036.25787938,159934299.36082974,35352506.25673951,34754230.64031012,159934299.36082974,35352506.25673951,34754230.64031012,98248.1904837208,20734.48616532426,19696.69682131752,98248.1904837208,20734.48616532426,19696.69682131752
,16/09/2023,1694822400,231158676.2391865,231158676.2391865,160466655.47152737,35653055.61853389,35038965.14912525,160466655.47152737,35653055.61853389,35038965.14912525,97762.66181195654,20728.88225872189,19677.62623150268,97762.66181195654,20728.88225872189,19677.62623150268
,17/09/2023,1694908800,229124772.62532282,229124772.62532282,159049790.31020486,35316252.10270655,34758730.21241141,159049790.31020486,35316252.10270655,34758730.21241141,97736.65471060257,20695.865136017997,19663.47427838263,97736.65471060257,20695.865136017997,19663.47427838263
,18/09/2023,1694995200,226905416.51294342,226905416.51294342,158079387.9821996,34297861.839936584,34528166.690807216,158079387.9821996,34297861.839936584,34528166.690807216,97634.11029720191,20232.816866807018,19635.01091316873,97634.11029720191,20232.816866807018,19635.01091316873
,19/09/2023,1695081600,229459917.76091707,229459917.76091707,159816010.32560626,34725411.082350194,34918496.352960624,159816010.32560626,34725411.082350194,34918496.352960624,97598.15957691727,20226.470344967292,19631.691115299334,97598.15957691727,20226.470344967292,19631.691115299334
,20/09/2023,1695168000,229008549.72592026,229008549.72592026,159793716.62475485,34306663.05503563,34908170.04612979,159793716.62475485,34306663.05503563,34908170.04612979,97489.8825101611,19960.472590247235,19614.527111793377,97489.8825101611,19960.472590247235,19614.527111793377
,21/09/2023,1695254400,226378166.81644785,226378166.81644785,157985355.71495515,33935999.33330523,34456811.76818748,157985355.71495515,33935999.33330523,34456811.76818748,97458.05566416738,19958.126122294827,19570.283907937024,97458.05566416738,19958.126122294827,19570.283907937024
,22/09/2023,1695340800,221244832.04191455,221244832.04191455,154401894.47102532,33165794.042930305,33677143.52795894,154401894.47102532,33165794.042930305,33677143.52795894,97456.25534678936,19955.831694463348,19561.65145473599,97456.25534678936,19955.831694463348,19561.65145473599
,23/09/2023,1695427200,222845987.29425934,222845987.29425934,155547885.5759855,33387039.43973463,33911062.27853922,155547885.5759855,33387039.43973463,33911062.27853922,97441.54403627437,19950.546127992777,19561.29066933122,97441.54403627437,19950.546127992777,19561.29066933122
,24/09/2023,1695513600,222372697.91165638,222372697.91165638,155281722.02833483,33214323.58067181,33876652.302649744,155281722.02833483,33214323.58067181,33876652.302649744,97425.55574761415,19903.237423925006,19559.042218132436,97425.55574761415,19903.237423925006,19559.042218132436
,25/09/2023,1695600000,219626267.5259631,219626267.5259631,153325551.40666875,32873509.76519738,33427206.35409698,153325551.40666875,32873509.76519738,33427206.35409698,97419.4510389478,19901.50790054388,19552.64761002397,97419.4510389478,19901.50790054388,19552.64761002397
,26/09/2023,1695686400,220809554.4538057,220809554.4538057,154116841.55546132,33102801.345331326,33589911.553013064,154116841.55546132,33102801.345331326,33589911.553013064,97208.84154070297,19893.749531443482,19501.127197736412,97208.84154070297,19893.749531443482,19501.127197736412
,27/09/2023,1695772800,221555429.00843132,221555429.00843132,154625037.6737985,33237885.436125882,33692505.89850693,154625037.6737985,33237885.436125882,33692505.89850693,97048.25120116897,19888.1581556963,19500.573512971594,97048.25120116897,19888.1581556963,19500.573512971594
,28/09/2023,1695859200,222169058.4203436,222169058.4203436,155069304.2688684,33296570.782128196,33803183.369347036,155069304.2688684,33296570.782128196,33803183.369347036,97048.72439144374,19886.266779423775,19488.04501968628,97048.72439144374,19886.266779423775,19488.04501968628
